--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.628  001.738  000.114: require('nvim-treesitter.install')
039.679  000.050  000.050: require('nvim-treesitter.statusline')
039.732  000.052  000.052: require('nvim-treesitter.query_predicates')
039.734  002.063  000.223: require('nvim-treesitter')
040.160  002.562  000.499: sourcing /Users/louishuyng/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
040.162  002.597  000.035: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.191  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.196  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.776  000.058  000.058: require('treesitter-context.config')
040.782  000.243  000.184: require('treesitter-context')
040.829  000.315  000.072: sourcing /Users/louishuyng/.local/share/nvim/lazy/nvim-treesitter-context/plugin/treesitter-context.lua
040.830  000.345  000.031: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.859  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.863  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
040.866  000.610  000.264: require('treesitter-context')
042.453  000.070  000.070: require('nvim-treesitter.indent')
042.523  000.049  000.049: require('nvim-treesitter.highlight')
042.681  000.066  000.066: require('vim.treesitter.highlighter')
042.726  000.044  000.044: require('treesitter-context.util')
042.729  000.179  000.069: require('treesitter-context.render')
042.751  002.553  001.645: require('config.cores.treesitter')
043.108  000.133  000.133: require('vim.lsp.log')
043.443  000.334  000.334: require('vim.lsp.protocol')
043.621  000.177  000.177: require('vim.lsp.util')
043.830  000.104  000.104: require('vim.lsp.sync')
043.840  000.217  000.114: require('vim.lsp._changetracking')
044.004  000.086  000.086: require('vim.lsp._transport')
044.013  000.172  000.086: require('vim.lsp.rpc')
044.044  001.174  000.142: require('vim.lsp')
044.311  000.266  000.266: require('lspconfig.util')
044.387  000.071  000.071: require('vim.version')
045.607  002.775  001.264: sourcing /Users/louishuyng/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
045.610  002.810  000.035: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
045.640  000.003  000.003: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
045.646  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
046.197  000.136  000.136: require('lspconfig.async')
046.199  000.299  000.164: require('lspconfig.configs')
046.206  000.366  000.066: require('lspconfig')
046.292  000.084  000.084: require('lspconfig.configs.gopls')
046.491  000.130  000.130: require('lspconfig.manager')
046.635  000.137  000.137: require('lspconfig.configs.golangci_lint_ls')
046.668  000.887  000.170: require('config/lsp/servers/golang')
046.876  000.128  000.128: require('lspconfig.configs.html')
046.965  000.297  000.168: require('config/lsp/servers/html')
047.104  000.076  000.076: require('lspconfig.configs.jsonls')
047.121  000.155  000.079: require('config/lsp/servers/json')
047.239  000.053  000.053: require('lspconfig.configs.ltex')
047.277  000.155  000.102: require('config/lsp/servers/ltex')
047.400  000.052  000.052: require('lspconfig.configs.lua_ls')
047.417  000.139  000.087: require('config/lsp/servers/lua')
047.511  000.048  000.048: require('lspconfig.configs.pyright')
047.519  000.101  000.053: require('config/lsp/servers/python')
047.642  000.074  000.074: require('lspconfig.configs.solargraph')
047.671  000.152  000.078: require('config/lsp/servers/ruby')
047.774  000.051  000.051: require('lspconfig.configs.rust_analyzer')
047.784  000.113  000.062: require('config/lsp/servers/rust')
047.904  000.075  000.075: require('lspconfig.configs.typos_lsp')
047.913  000.128  000.053: require('config/lsp/servers/spell')
048.031  000.072  000.072: require('lspconfig.configs.terraformls')
048.042  000.128  000.057: require('config/lsp/servers/terraform')
048.170  000.082  000.082: require('lspconfig.configs.ts_ls')
048.246  000.059  000.059: require('lspconfig.configs.eslint')
048.333  000.071  000.071: require('lspconfig.configs.denols')
048.350  000.307  000.095: require('config/lsp/servers/typescript')
048.445  000.046  000.046: require('lspconfig.configs.yamlls')
048.456  000.105  000.059: require('config/lsp/servers/yamlls')
048.562  000.062  000.062: require('lspconfig.configs.zls')
048.572  000.116  000.053: require('config/lsp/servers/zig')
048.573  002.848  000.065: require('config.lsp.register_server')
048.880  000.027  000.027: sourcing /Users/louishuyng/.local/share/nvim/lazy/conform.nvim/plugin/conform.lua
048.882  000.070  000.043: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
048.910  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
048.914  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
048.966  000.345  000.273: require('conform')
048.977  000.404  000.058: require('config.lsp.register_formatters')
049.068  000.043  000.043: require('config.libs.icons')
049.167  000.002  000.002: require('vim.F')
049.185  000.116  000.114: require('vim.diagnostic')
049.188  000.210  000.051: require('config.lsp.diagnostic')
049.241  000.052  000.052: require('config.lsp.on_attach')
049.616  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
049.620  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
049.844  000.046  000.046: require('mason-core.path')
050.007  000.051  000.051: require('mason-core.functional.data')
050.058  000.050  000.050: require('mason-core.functional.function')
050.114  000.053  000.053: require('mason-core.functional.list')
050.170  000.045  000.045: require('mason-core.functional.relation')
050.216  000.044  000.044: require('mason-core.functional.logic')
050.263  000.045  000.045: require('mason-core.functional.number')
050.312  000.047  000.047: require('mason-core.functional.string')
050.360  000.045  000.045: require('mason-core.functional.table')
050.404  000.043  000.043: require('mason-core.functional.type')
050.405  000.503  000.079: require('mason-core.functional')
050.424  000.579  000.076: require('mason-core.platform')
050.478  000.053  000.053: require('mason.settings')
050.480  000.827  000.148: require('mason-core.installer.InstallLocation')
050.642  000.060  000.060: require('mason-core.log')
050.643  000.113  000.052: require('mason-core.EventEmitter')
050.698  000.054  000.054: require('mason-registry.sources')
050.700  000.220  000.053: require('mason-registry')
050.702  001.460  000.412: require('mason')
050.834  000.071  000.071: require('mason.api.command')
050.836  005.188  000.142: require('config.lsp')
050.896  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
050.899  000.000  000.000: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
051.687  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
